duration(s),mode(str),current(A),voltage(V),cutoff_current(A),thermal_system_on(str),temperature_setpoint(degC),step_name(str)
1800.0,REST,,,,ON,45.0,precondition_to_45deg
3600.0,CHARGE,60.0,58.0,5.0,ON,45.0,60A_charge_at_45deg
1800.0,REST,,,,ON,30.0,precondition_to_30deg
70.0,DISCHARGE,80.0,39.2,0.0,OFF,30.0,70s_80A_discharge_takeoff
450.0,DISCHARGE,40.0,39.2,0.0,OFF,30.0,450s_40A_discharge_outbound
130.0,DISCHARGE,70.0,39.2,0.0,OFF,30.0,130s_70A_discharge_delivery
600.0,DISCHARGE,40.0,39.2,0.0,OFF,30.0,600s_40A_discharge_inbound
70.0,DISCHARGE,80.0,39.2,0.0,OFF,30.0,70s_80A_discharge_docking
3.0,DISCHARGE,200.0,39.2,0.0,OFF,30.0,3s_200A_discharge_latching
600.0,REST,,,,ON,45.0,postcondition_to_45deg
